"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","compare cdk v2 and native","Comparsion service tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","16","(pinterest_tag) partial failure scenario","CDK V2 api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","18","(webhook) failure scenario with single event config not containing webhook endpoint","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","7","successful transformation at router","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Destination router transform tests","",""
"","23","(webhook) success scenario with single event","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","2","should fail trying to convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","1","when events(all track) without properties.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","2","should return the input unchanged when the implementation version and request version are the same i.e. v1","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","7","successful source transform","Source controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","V1 Source transform tests","",""
"","36","(shopify) success source transform (monday)","Source api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","13","failing source transform","Source controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","V1 Source transform tests","",""
"","14","(webhook) successful router transform","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Router transform tests","",""
"","2","when events(all identify) without context.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","28","(pinterest) failure scneario for multiplex but event fails at validation","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","10","batch transformation failure","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Batch transform tests","",""
"","21","(mock destination) Processor transformation scenario with single event","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","49","successful features response","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","15","(pinterest) partial success scenario for multiplex with 2 events and expect 3 output events with 3rd one failing","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","8","should return the input unchanged when the implementation version is not found","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","12","(mock destination) Batching","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","2","should convert input from v0 to v1 when the request version is v0 and the implementation version is v1","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","10","(mock destination) v1 proxy","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","13","(webhook) send events for 2 destinations router transform","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Router transform tests","",""
"","11","transformation at router failure","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Destination router transform tests","",""
"","9","features supportSourceTransformV1 to be boolean","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","2","should return the input unchanged when the implementation version and request version are the same i.e. v0","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","1","when events(all track), timestamp should be taken from properties.timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","10","compare native and cdk v2","Comparsion service tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","1","should return an empty array when the input is an empty array","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","4","should convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","13","(webhook) success snceario for batch of input of 2 events and expect 3 output events","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","16","successful source transform","Source controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","V0 Source transform tests","",""
"","35","(pipedream) success source transform for source present in v0 and server providing v1 endpoint","Source api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","6","features upgradedToSourceTransformV2 to be boolean","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","8","features routerTransform should be object","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","17","transformation at processor failure","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Destination processor transform tests","",""
"","1","should fail trying to convert input from v2 to v1 format when the request version is v2 and the implementation version is v1","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","1","when proc events(identify, track, group) are mixed, timestamp should be taken from relevant places for identify & track, skipped for group","controller utility tests -- handleTimestampInEvents for retl connections","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","12","failing source transform","Source controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","V0 Source transform tests","",""
"","11","failing source transform","Source controller tests","Tue Jan 28 14:46:27 GMT 2025","passed","Tue Jan 28 14:46:27 GMT 2025","","V2 Source transform tests","",""
"","2","should convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","1","when a mix of VDM enabled & non-VDM destinations are available, the timestamp will be applied to only non-VDM destination","controller utility tests -- handleTimestampInEvents for retl connections","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","9","(mock destination) v0 proxy","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","2","should convert input from v1 to v0 format when the request version is v1 and the implementation version is v0","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","11","(mock destination) Router transformation","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","11","(NA_SOURCE) failure source transform ","Source api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","2","should convert input from v2 to v1 format when the request version is v2 and the implementation version is v1","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
"","1","should fail trying to convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Tue Jan 28 14:46:21 GMT 2025","passed","Tue Jan 28 14:46:21 GMT 2025","","","",""
